# BinLowEdge  BinUpEdge (unit: MeV)  BinContent  BinError (unit: 10^{-43}cm^2/fission/MeV)
1.80  2.05  0.3003  0.0451
2.05  2.30  0.6057  0.0221
2.30  2.55  0.9190  0.0217
2.55  2.80  1.2013  0.0244
2.80  3.05  1.4074  0.0243
3.05  3.30  1.6100  0.0253
3.30  3.55  1.7279  0.0260
3.55  3.80  1.7360  0.0253
3.80  4.05  1.7518  0.0252
4.05  4.30  1.6661  0.0240
4.30  4.55  1.5394  0.0225
4.55  4.80  1.3363  0.0207
4.80  5.05  1.2442  0.0187
5.05  5.30  1.1515  0.0183
5.30  5.55  1.0184  0.0169
5.55  5.80  0.9072  0.0156
5.80  6.05  0.7631  0.0150
6.05  6.30  0.6392  0.0142
6.30  6.55  0.4812  0.0118
6.55  6.80  0.3976  0.0111
6.80  7.05  0.3217  0.0114
7.05  7.30  0.2037  0.0101
7.30  7.55  0.1553  0.0108
7.55  7.80  0.1040  0.0091
7.80  9.50  0.0212  0.0014
