1.806,0,−,−,8.83,0.511,7.46,−0.015,43.2,12.1,40.2,0.070
2.01,0.00351,0.719,−0.021,9.85,0.654,8.47,−0.013,48.2,14.7,44.8,0.083
2.25,0.00735,0.952,−0.025,11.0,0.832,9.58,−0.010,53.7,17.6,49.9,0.097
2.51,0.0127,1.21,−0.027,12.3,1.05,10.8,−0.007,59.9,21.0,55.6,0.113
2.80,0.0202,1.50,−0.027,13.7,1.33,12.2,−0.003,66.9,25.0,61.8,0.131
3.12,0.0304,1.82,−0.027,15.3,1.67,13.7,0.0006,74.6,29.6,68.8,0.151
3.48,0.0440,2.18,−0.027,17.0,2.09,15.5,0.005,83.2,34.8,76.5,0.173
3.89,0.0619,2.58,−0.026,19.0,2.61,17.4,0.010,92.9,40.7,85.0,0.198
4.33,0.0854,3.03,−0.025,21.2,3.24,19.5,0.015,104.,47.3,94.5,0.225
4.84,0.116,3.52,−0.024,23.6,4.01,21.8,0.021,116.,54.6,105.,0.255
5.40,0.155,4.08,−0.023,26.4,4.95,24.4,0.028,129.,62.7,117.,0.288
6.02,0.205,4.69,−0.022,29.4,6.08,27.3,0.036,144.,71.5,130.,0.323
6.72,0.269,5.38,−0.020,32.8,7.44,30.5,0.044,160.,81.0,144.,0.361
7.49,0.349,6.15,−0.018,36.6,9.08,34.1,0.054,179.,91.3,161.,0.400
8.36,0.451,7.00,−0.016,40.9,11.0,38.0,0.065,200.,102.,179.,0.442
